start_x;start_y;end_x;end_y;other_point_x;other_point_y;position_x;
4.88330000e+04;1.08355921e-01;4.88430000e+04;3.65255708e-01;4.88390000e+04;-8.35293902e-01;4.88390000e+04;
5.77130000e+04;9.19811506e-02;5.77480000e+04 ;5.41558023e-02;5.77190000e+04;1.79435155e-01;5.77190000e+04;
5.7818000e+04;4.9773585e-02;5.78690000e+04;6.38009811e-02;5.78390000e+04;6.26275245e-01;5.78390000e+04;
5.94720000e+04;-2.13357748e+00;5.94780000e+04;-2.23574262e+00;5.94750000e+04;-1.98380708e+00;5.94750000e+04;
6.04110000e+04;4.28306628e-01;6.04280000e+04;2.80473028e+00;6.04190000e+04;-8.62360671e-01;6.04190000e+04;
6.04790000e+04;1.97070623e-01;6.04960000e+04;8.78791819e-02;6.04800000e+04;-4.28957004e+00;6.04790000e+04;
6.063000e+04;1.792305e-01;6.06670000e+04;1.68052525e-01;6.06590000e+04;-6.18490174e+00;6.06590000e+04;
6.42530000e+04;3.26284885e-01;6.42830000e+04;2.47269343e-01;6.42590000e+04;7.04368073e-01;6.42590000e+04;
6.43130000e+04;7.06627022e-01;6.43590000e+04;6.35604077e-01;6.43190000e+04;9.84742926e-01;6.43190000e+04;
6.44330000e+04;1.78914178e-01;6.44560000e+04;1.85074163e-01;6.44390000e+04;1.82966952e+00;6.44390000e+04;
6.55010000e+04;-6.62882764e-01;6.55430000e+04;1.13682382e-01;6.55190000e+04;-5.93208557e+00;6.55190000e+04;
8.01980000e+04;4.93729111e-02;8.02480000e+04;2.88036623e-02;8.02190000e+04;6.25239771e-01;8.02190000e+04;
8.02550000e+04;2.65959746e-01;8.0303000e+04;2.2765138e-01;8.02790000e+04;1.34586252e+00;8.02790000e+04;
8.0332000e+04;2.3848017e-01;8.03480000e+04;2.08191802e-01;8.03390000e+04;1.95961905e+00;8.03390000e+04;
8.06320000e+04;1.98507374e-01;8.06780000e+04;1.13682382e-01;8.06390000e+04;-1.68615365e+00;8.06390000e+04;
8.50790000e+04;1.78664257e-01;8.51090000e+04;1.38596633e-01;8.50800000e+04;-1.49047093e+00;8.50790000e+04;
8.85560000e+04;-6.93924846e-01;8.85700000e+04;1.13008933e+00;8.85590000e+04;-1.23411428e+00;8.85590000e+04;
8.93170000e+04;6.70867674e-01;8.9349000e+04;9.8205097e-01;8.93390000e+04;-5.50013569e+00;8.93390000e+04;
